Class	Tx_expression	Gene_expression	DNase_Enh	DNase_Prom	H4K20me1_Enh	H4K20me1_Prom	H3K9me3_Enh	H3K9me3_Prom	H3K9ac_Enh	H3K9ac_Prom	H3K79me2_Enh	H3K79me2_Prom	H3K4me3_Enh	H3K4me3_Prom	H3K4me2_Enh	H3K4me2_Prom	H3K4me1_Enh	H3K4me1_Prom	H3K36me3_Enh	H3K36me3_Prom	H3K27me3_Enh	H3K27me3_Prom	H3K27ac_Enh	H3K27ac_Prom	H2A.Z_Enh	H2A.Z_Prom	CTCF_Enh	CTCF_Prom	Hi-C_contact
1	-0.997377	-0.990456	-0.555563	-0.077036	-0.814678	-0.531221	-0.761562	-0.486914	-0.838349	-0.371298	-0.961316	-0.424909	-0.940778	-0.0601688	-0.553509	-0.36529	0.971311	-0.704483	-0.81803	1	-0.888847	-0.912387	-0.342897	-0.28058	-0.697258	-0.707588	-0.918079	-0.914844	-0.542017
1	-0.997377	-0.990456	-0.714567	-0.077036	-0.915497	-0.531221	-0.883306	-0.486914	-0.963114	-0.371298	-0.97409	-0.424909	-0.970826	-0.0601688	-0.844434	-0.36529	-0.131553	-0.704483	-0.911217	1	-0.958783	-0.912387	-0.694594	-0.28058	-0.816083	-0.707588	-0.945169	-0.914844	-0.524529
0	-0.997377	-0.990456	-0.737642	-0.077036	-0.859214	-0.531221	-0.743206	-0.486914	-0.859448	-0.371298	-0.909432	-0.424909	-0.307169	-0.0601688	-0.535356	-0.36529	-0.828937	-0.704483	-0.803137	1	-0.878308	-0.912387	-0.723195	-0.28058	-0.717929	-0.707588	-0.976859	-0.914844	-0.817648
1	-0.99607	-0.975219	-0.639091	-0.313923	-0.849325	-0.0565187	-0.763302	-0.150882	-0.873984	-0.687291	-0.955922	-0.285363	-0.944222	-0.394316	-0.622993	0.395525	0.801798	0.893911	-0.826396	0.435683	-0.920453	-0.78453	-0.741915	-0.47755	-0.635035	-0.705598	-0.888941	-0.690134	1
1	-0.99607	-0.975219	-0.772034	-0.313923	-0.887301	-0.0565187	-0.894218	-0.150882	-0.916848	-0.687291	-0.927594	-0.285363	-0.811387	-0.394316	-0.683075	0.395525	-0.579855	0.893911	-0.922137	0.435683	-0.948847	-0.78453	-0.796819	-0.47755	-0.882354	-0.705598	-0.936443	-0.690134	1
0	-0.99607	-0.975219	-0.391011	-0.313923	-0.928153	-0.0565187	-0.890215	-0.150882	-0.699344	-0.687291	-0.934814	-0.285363	-0.470315	-0.394316	-0.470545	0.395525	-0.791666	0.893911	-0.909359	0.435683	-0.966021	-0.78453	-0.459704	-0.47755	-0.476849	-0.705598	-0.951426	-0.690134	-0.708343
0	-0.99607	-0.975219	-0.845052	-0.313923	-0.885317	-0.0565187	-0.891023	-0.150882	-0.932091	-0.687291	-0.908773	-0.285363	-0.667006	-0.394316	-0.796639	0.395525	-0.868066	0.893911	-0.91392	0.435683	-0.776087	-0.78453	-0.925375	-0.47755	-0.870989	-0.705598	-0.950077	-0.690134	-1
0	-0.99607	-0.975219	-0.455962	-0.313923	-0.767414	-0.0565187	-0.736459	-0.150882	-0.866973	-0.687291	-0.959118	-0.285363	-0.789758	-0.394316	-0.608776	0.395525	0.514437	0.893911	-0.827255	0.435683	-0.848846	-0.78453	-0.0481478	-0.47755	-0.783125	-0.705598	-0.822914	-0.690134	-1
1	-0.996206	-0.992111	-0.501492	-0.408001	-0.670322	-0.443235	-0.688647	-0.307526	-0.800323	-0.778037	-0.918932	-0.866015	0.0130944	0.15104	-0.285568	0.120322	0.0438012	-0.0105608	-0.798429	-0.133709	-0.693226	-0.591286	-0.248808	-0.412495	-0.414067	-0.333622	-0.878053	-0.741397	1
1	-0.999844	-0.995834	-0.857313	-0.631707	-0.931401	-0.515231	-0.881209	-0.195451	-0.933644	-0.761597	-0.97765	-0.811386	-0.917192	-0.742855	-0.836277	-0.393727	-0.687909	0.215887	-0.925571	0.182464	-0.918412	-0.770799	-0.888776	-0.715517	-0.821459	-0.639357	-0.990331	-0.971106	1
1	-0.999844	-0.995834	-0.859242	-0.631707	-0.599407	-0.515231	-0.739896	-0.195451	-0.519227	-0.761597	-0.370135	-0.811386	-0.218	-0.742855	-0.125393	-0.393727	-0.318978	0.215887	-0.619312	0.182464	-0.828754	-0.770799	-0.560085	-0.715517	-0.751357	-0.639357	-0.917608	-0.971106	1
1	-0.999816	-0.995605	-0.583489	-0.608907	-0.930713	-0.216889	-0.917368	-0.260621	-0.974421	-0.851061	-0.987181	-0.808357	-0.987246	-0.47468	-0.935274	-0.21081	-0.475657	-0.549264	-0.94147	0.209513	-0.942651	-0.69294	-0.836901	-0.774522	-0.913526	-0.680922	-0.966523	-0.88917	-0.365405
